Symbol,WinRate,Returns,Actual_Ret,Prev_Volatility,Prev_Returns_CAGR,Previous_Sharpe,No.,CAGR,Vol,Sharpe,Drawdown,Calmar
GEPIL,33.33333333,0.698739999,0.361467687,0.278076506,18.09558953,0.470934769,12,-3.950895305,43.22434256,-0.207079964,78.58365115,-0.050276301
ONGC,69.23076923,2.532688113,1.460060506,0.2808649,9.439693439,0.158072206,13,11.01526053,44.68584171,0.134612224,45.77104332,0.240660027
KANSAINER,60,1.406552498,0.817180157,0.281245626,61.45952259,2.007480913,5,3.910660745,20.00544047,-0.05445215,10.19453105,0.38360379
EXIDEIND,90.90909091,1.39703961,2.032759795,0.281865054,29.56377698,0.871472949,11,3.831395595,22.20642857,-0.052624599,44.88287622,0.085364306
ABB,82.35294118,3.702775462,7.102106385,0.282999411,34.33147219,1.036449939,17,15.85927043,26.89155275,0.403817159,19.24046495,0.824266486
TATAINVEST,73.33333333,6.589204747,7.977873387,0.283024838,9.25903207,0.150482625,15,23.61683121,49.85625424,0.373410147,15.45109067,1.528489588
IGL,66.66666667,2.364211902,1.528164192,0.283516183,17.7906286,0.451142805,6,10.15924749,33.77058725,0.152773402,10.19395062,0.996595713
THERMAX,83.33333333,2.801606774,4.669471751,0.284474804,48.20722999,1.518842067,6,12.28218295,27.68647945,0.263023074,0.521907657,23.53324919
ZYDUSWELL,44.44444444,1.571197808,1.443030556,0.285009012,23.87951862,0.662418303,9,5.212204714,28.44620916,0.007459859,27.53775304,0.189274873
BLUESTARCO,70.58823529,3.848394617,3.945949167,0.285231905,26.65839246,0.759325731,17,16.36290995,46.06704009,0.2466603,43.32177167,0.377706389
SIEMENS,76.92307692,7.142949109,6.312036022,0.285723688,20.72732911,0.550438405,13,24.74362482,45.19914618,0.43681411,10.14244943,2.439610371
CUMMINSIND,100,9.193579457,4.723619399,0.286984964,20.42067096,0.537333759,12,28.34886169,43.69810118,0.534322111,0,inf
BATAINDIA,87.5,2.187057497,1.728924732,0.287741277,28.15544919,0.804731579,8,9.198635415,21.3707891,0.196466092,10.13006302,0.908053128
PETRONET,66.66666667,1.266112177,1.250530351,0.289784953,26.60889392,0.745687231,9,2.688775858,12.11824457,-0.190722685,19.34202245,0.139012136
BALMLAWRIE,81.81818182,2.611128515,1.785539854,0.290260544,17.25098528,0.42206857,11,11.39668132,22.63967882,0.282542936,10.18896383,1.118531924
ECLERX,56.25,2.023754896,2.671993925,0.290537707,15.69198226,0.368006699,16,8.249873066,46.84153258,0.069380161,49.49208199,0.166690766
TECHM,83.33333333,2.099202662,1.94923833,0.290573829,14.66865547,0.332743506,6,8.69634706,29.39776084,0.125735667,10.14750148,0.856993919
HATSUN,75,1.98619932,1.983360404,0.291480871,32.20863676,0.933462173,12,8.022097851,35.06574272,0.086183768,41.91843334,0.19137399
